angle,coincidence_rate
-90,2860
-85,2770
-80,2710
-75,2680
-70,2500
-65,2350
-60,2180
-55,1990
-50,1710
-45,1530
-40,1301
-35,1045
-30,865
-25,580
-20,410
-15,260
-10,114
-5,32
0,15
5,44
10,130
15,280
20,443
25,650
30,885
35,1070
40,1411
45,1620
50,2040
55,2315
60,2430
65,2741
70,2800
75,3060
80,3130
85,3220
90,3250
